paper_id,section,question,answer
1001,Title,What is the title of the paper?,Fast and Secure Laptop Backups with Encrypted De-duplication
1001,Abstract:,What type of data does the algorithm take advantage of to increase the speed of backups?,common
1001,Section 1: Introduction,How many TB of data do people have at home?,1
1001,Section 1: Introduction,How long did it take to get all of the data copied off site via my cable connection?,three months
1001,Section 1: Introduction,What type of laptops are used to backup?,personal
1001,Section 1: Introduction,Why are backups vulnerable to theft?,not encrypted
1001,Section 1: Introduction,What has been an important issue since computers have been used to store valuable information?,Data backup
1001,Section 1: Introduction,What do not meet these challenges well?,Existing techniques
1001,Section 1.1: De-duplication & Encryption,What is there a good deal of between the data on typical laptops?,sharing
1001,Section 1.1: De-duplication & Encryption,What does CAS stand for?,content-addressable storage
1001,Section 1.2: A Solution,How is data encrypted?,independently
1001,Section 1.2: A Solution,What section discusses the problems with direct backup to the cloud?,Section 5
1001,Section 1.2: A Solution,What is the name of the software that overcomes the two limitations of the algorithm?,prototype
1001,Section 1.2: A Solution,What is presented to enable the use of cloud services?,practical extension
1001,Section 1.2: A Solution,What section describes the prototype implementation and gives some preliminary performance results?,Section 3
1001,Section 1.2: A Solution,What section presents some conclusions?,Section 6
1001,Section 1.2: A Solution,What section presents the data collected from a typical user community to determine the practical extent and nature of shared files?,Section 4
1001,Section 1.2: A Solution,What cloud service was originally intended to be used for remote storage?,Amazon S3
1001,Section 1.2: A Solution,What section describes the algorithm?,Section 2
1001,Section 1.2: A Solution,What is the algorithm capable of identifying in a directory hierarchy?,shared sub-trees
1001,Section 2: The Backup Algorithm,"Along with convergent encryption, what other technology does the backup algorithm build on?",de-duplication
1001,Section 2.2: Convergent Encryption,What does a typical implementation of convergent encryption involve?,complex schemes
1001,Section 2.2: Convergent Encryption,What type of data blocks will yield different encrypted data blocks that can no longer be shared?,identical
1001,Section 2.2: Convergent Encryption,What technique is used to overcome the problem of two identical data blocks being encrypted with different keys?,convergent encryption
1001,Section 2.2: Convergent Encryption,When the de-duplication is part of a what type of filesystem?,local
1001,Section 2.3: The Algorithm,What process is used to copy files into the backup store?,convergent encryption
1001,Section 2.3: The Algorithm,How many shared subtrees are there?,6
1001,Section 2.3: The Algorithm,What are directories stored as?,directory objects
1001,Section 2.4: Implementation,How would the hash function be memoized in practice?,unacceptably expensive
1001,Section 2.4: Implementation,What depends on the contents of a directory object?,hash key
1001,Section 2.4: Implementation,What does the hash key for a directory object depend on for all of its children?,keys
1001,Section 2.4: Implementation,What type of implementation presents many opportunities for optimisation?,production
1001,Section 2.4: Implementation,What type of algorithm requires some care?,efficient implementation
1001,Section 2.4: Implementation,What kind of implementation is the hash for a particular object recomputed once for every directory in its path?,naive
1001,Section 3: Prototype System,What was the prototype backup system for Apple OS X a proof of concept of?,algorithm 8
1001,Section 3.1: Architecture,What approach does Cumulus argue for?,thincloud
1001,Section 3.1: Architecture,What system demonstrated that the thin-cloud approach can be as efficient as integrated client/server approaches?,Cumulus system
1001,Section 3.1: Architecture,What approach did Cumulus argue for in its prototype system?,thin-server
1001,Section 3.1: Architecture,What approach does Cumulus argue for?,thin-cloud
1001,Section 3.1: Architecture,How many problems does the thin-cloud approach raise in a multi-user setting?,three
1001,Section 3.1: Architecture,What is a common storage model found in DVD-R or tape backup storage?,throughput
1001,Section 3.1.1: FSEvents Module,What was introduced as a system service in the OS X Leopard release?,FSEvents
1001,Section 3.1.1: FSEvents Module,What level is the event reported by the FSEvents API only?,directory level
1001,Section 3.1.1: FSEvents Module,What is FSEvents part of?,foundational technologies
1001,Section 3.1.2: Local Meta DB,What is the list of files to backup sorted by from bottom up?,directory-depth
1001,Section 3.1.3: Backup Module,What can be applied prior to the data encryption step to further reduce the size of the data to upload?,data compression
1001,Section 3.1.3: Backup Module,Where do the meta DB fetch the files from for each backup session?,local
1001,Section 3.1.3: Backup Module,Where does the backup module first retrieve a list of files from?,the local
1001,Section 3.1.3: Backup Module,"The final sequence of encrypted data blocks, together with their unique content addresses, are put in what queue to be dispatched to the remote storage?",upload queue
1001,Section 3.1.4: Upload Queue,What do we do in the upload queue to pack small blocks into bigger packets?,data aggregation
1001,Section 3.1.4: Upload Queue,What is checked to see if the same data block is already on the server?,content address
1001,Section 3.1.4: Upload Queue,Why are small files more or less efficient to transfer over a standard network file system like CIFS?,less efficient
1001,Section 3.1.4: Upload Queue,What happens if a data block is not on the server?,scheduled
1001,Section 3.1.4: Upload Queue,What protocol is used to upload data blocks to the backup server?,CIFS
1001,Section 3.1.5: Server Application,What programming language is used on the server to periodically check any new files in a user's upload directory?,Python
1001,Section 3.1.5: Server Application,What permission was set up so that the server application can read/write files in both public data pool and users' own upload directories?,ACL
1001,Section 3.1.5: Server Application,What does the server do with each incoming packet?,disassemble
1001,Section 4: Laptop Filesystem Statistics,How do we feel about the typical usage of a Mac laptop in a study conducted by a small group of people?,reasonably confident
1001,Section 4: Laptop Filesystem Statistics,What is the name of the folder in a user's home folder that is labelled as APP?,/Applications
