paper_id,section,question,answer
1001,Abstract:,What type of data does the algorithm take advantage of to increase the speed of backups?,common
1001,Section 1.1: De-duplication & Encryption,What does CAS stand for?,content-addressable storage
1001,Section 1.1: De-duplication & Encryption,What is there a good deal of between the data on typical laptops?,sharing
1001,Section 1.2: A Solution,What is the name of the software that overcomes the two limitations of the algorithm?,prototype
1001,Section 1.2: A Solution,What is the algorithm capable of identifying in a directory hierarchy?,shared sub-trees
1001,Section 1.2: A Solution,What is presented to enable the use of cloud services?,practical extension
1001,Section 1: Introduction,How long did it take to get all of the data copied off site via my cable connection?,three months
1001,Section 1: Introduction,What do not meet these challenges well?,Existing techniques
1001,Section 1: Introduction,What type of laptops are used to backup?,personal
1001,Section 2.2: Convergent Encryption,What type of data blocks will yield different encrypted data blocks that can no longer be shared?,identical
1001,Section 2.2: Convergent Encryption,When the de-duplication is part of a what type of filesystem?,local
1001,Section 2.2: Convergent Encryption,What does a typical implementation of convergent encryption involve?,complex schemes
1001,Section 2.3: The Algorithm,What process is used to copy files into the backup store?,convergent encryption
1001,Section 2.3: The Algorithm,How many shared subtrees are there?,6
1001,Section 2.3: The Algorithm,What are directories stored as?,directory objects
1001,Section 2.4: Implementation,How would the hash function be memoized in practice?,unacceptably expensive
1001,Section 2.4: Implementation,What depends on the contents of a directory object?,hash key
1001,Section 2.4: Implementation,What kind of implementation is the hash for a particular object recomputed once for every directory in its path?,naive
1001,Section 2: The Backup Algorithm,"Along with convergent encryption, what other technology does the backup algorithm build on?",de-duplication
1001,Section 3.1.1: FSEvents Module,What was introduced as a system service in the OS X Leopard release?,FSEvents
1001,Section 3.1.1: FSEvents Module,What level is the event reported by the FSEvents API only?,directory level
1001,Section 3.1.1: FSEvents Module,What is FSEvents part of?,foundational technologies
1001,Section 3.1.2: Local Meta DB,What is the list of files to backup sorted by from bottom up?,directory-depth
1001,Section 3.1.3: Backup Module,Where do the meta DB fetch the files from for each backup session?,local
1001,Section 3.1.3: Backup Module,"The final sequence of encrypted data blocks, together with their unique content addresses, are put in what queue to be dispatched to the remote storage?",upload queue
1001,Section 3.1.3: Backup Module,What can be applied prior to the data encryption step to further reduce the size of the data to upload?,data compression
1001,Section 3.1.4: Upload Queue,What is checked to see if the same data block is already on the server?,content address
1001,Section 3.1.4: Upload Queue,What protocol is used to upload data blocks to the backup server?,CIFS
1001,Section 3.1.4: Upload Queue,What do we do in the upload queue to pack small blocks into bigger packets?,data aggregation
1001,Section 3.1.5: Server Application,What programming language is used on the server to periodically check any new files in a user's upload directory?,Python
1001,Section 3.1.5: Server Application,What permission was set up so that the server application can read/write files in both public data pool and users' own upload directories?,ACL
1001,Section 3.1.5: Server Application,What does the server do with each incoming packet?,disassemble
1001,Section 3.1: Architecture,What approach does Cumulus argue for?,thincloud
1001,Section 3.1: Architecture,What system demonstrated that the thin-cloud approach can be as efficient as integrated client/server approaches?,Cumulus system
1001,Section 3.1: Architecture,What is a common storage model found in DVD-R or tape backup storage?,throughput
1001,Section 3: Prototype System,What was the prototype backup system for Apple OS X a proof of concept of?,algorithm 8
1001,Section 4.1: Key Statistics,What distribution does the file size distribution follow?,normal
1001,Section 4.1: Key Statistics,How many Mac machines were in the university?,24
1001,Section 4.1: Key Statistics,What percentage of files are relatively small?,95%)
1001,Section 4.2: Backup Simulation,What type of data sharing is expected between System and Application files?,greater
1001,Section 4.3: Data Duplication,How many GB of data is needed for actual storage?,70 GB
1001,Section 4: Laptop Filesystem Statistics,How do we feel about the typical usage of a Mac laptop in a study conducted by a small group of people?,reasonably confident
1001,Section 4: Laptop Filesystem Statistics,What is the name of the folder in a user's home folder that is labelled as APP?,/Applications
1001,Section 4: Laptop Filesystem Statistics,What was the cryptographically strong hash for each file on a Mac laptop used by voluntary participants in a study of laptop users?,160-bit
1001,Section 5.1: Cost Saving: Data De-Duplication,What is the name of the HTTP protocol request that Amazon S3 uses to transfer data to a cloud storage?,PUT
1001,Section 5.1: Cost Saving: Data De-Duplication,What operation does a client use to check if an object exists on the cloud for de-duplication backups?,HEAD
1001,Section 5.1: Cost Saving: Data De-Duplication,What is the typical storage provider for the cloud?,Amazon S3
1001,Section 5.2: Cost Saving: Data Aggregation,"What was the result of the underlying file system not handling large amount of small I/O requests efficiently between the client and the server, even on a high-speed network?",slower
1001,Section 5.2: Cost Saving: Data Aggregation,What does the client side of Amazon S3 use to pack small files into bigger packets before sending them to the cloud?,data aggregation
1001,Section 5.2: Cost Saving: Data Aggregation,"What percentage of cost saving can be achieved via data aggregation alone, according to the results of our experiment?",25%
1001,Section 5.3: Case Study: Six-Month Bill Using S3,All prices quoted are from what tier?,US Standard
1001,Section 5.3: Case Study: Six-Month Bill Using S3,How long does it take to back up all the machines we have to Amazon S3?,six-month
1001,Section 5.3: Case Study: Six-Month Bill Using S3,How many machines are there with data de-duplication?,10
1001,Section 5: Using Cloud Storage,How has the cloud interface been standardized?,standardised
1001,Section 6: Conclusions,What is an example of a typical cloud interface?,Amazon S3
1001,Section 6: Conclusions,What type of users share a considerable amount of data in common?,laptop users
1001,Section 6: Conclusions,What is exploited to reduce the number of files which need to be scanned?,novel algorithm
1001,Title,What is the title of the paper?,Fast and Secure Laptop Backups with Encrypted De-duplication
1002,Abstract:,"What have been proposed as platforms for always-on, globally-distributed, Internet-scale applications?",key-value stores
1002,Abstract:,What does a system promise?,eventual consistency
1002,Abstract:,What do key-value stores sacrifice for availability?,consistency
1002,Section 2.1: High level approach,What does DFS stand for?,depth-first search
1002,Section 2.1: High level approach,"What are there for adding edges in a graph, depending on the desired consistency semantics?",different rules
1002,Section 2.1: High level approach,How many kinds of edges do we add to a graph to check consistency?,three kinds
1002,Section 2.2: Checking safety,What do we call the edges of A and B where A  B in Step 2 of the Time rule algorithm?,time
1002,Section 2.2: Checking safety,"What includes a proof that, after applying the hybrid rule, a trace is unsafe?",technical report
1002,Section 2.2: Checking safety,What kind of stores tend to return values that have been previously written?,key-value stores
1002,Section 2.4: Checking atomicity,What algorithm is used to check atomicity?,safety checking
1002,Section 2.4: Checking atomicity,What includes a proof that the resulting graph is a DAG if the trace is atomic?,technical report
1002,Section 2.4: Checking atomicity,What is the running time of the all-pairs reachability algorithm?,n 2
1002,Section 2: Consistency checking,What has the following semantics if there exists a valid total order that satisfy the corresponding conditions?,A register
1002,Section 2: Consistency checking,What kind of consistency semantics does Lamport define on registers?,regular
1002,Section 2: Consistency checking,What kind of consistency semantics does Lamport define on registers?,safe
1002,Section 4: Consistency provided by Pahoehoe,What is Pahoehoe's workload similar to?,YCSB
1002,Section 4: Consistency provided by Pahoehoe,What means a cycle in the precedence graph?,violation
1002,Section 4: Consistency provided by Pahoehoe,What tool can calibrate machine clocks in a data-center?,Chirp
1002,Section 5: Discussion and Future Work,What type of checking of consistency can be extended to?,online
1002,Section 5: Discussion and Future Work,What can be checked efficiently and design algorithms to check?,semantics
1002,Section 5: Discussion and Future Work,What are many types of in a data-center?,failures
1002,Title,What is the title of the paper?,What consistency does your key-value store actually provide?
1003,Abstract:,What is used to download other malicious binaries to the victim machine?,shellcode
1003,Section 1: Introduction,What type of operations have been inspired by our increasing reliance on the internet for many facets of our daily lives?,felonious
1003,Section 1: Introduction,What is it difficult to analyze the interactions of the malware with to identify all of the possible browser infection variants?,browser
1003,Section 1: Introduction,"What is the cost of each of the proposed solutions in terms of CPU, memory, and storage in terms of analysis of thousands or millions of application instances, or a combination of them both?",heavy cost
1003,Section 2: Related Work,What does the work of Provos and Seifert provide about the different exploitation techniques in use today?,high-level overview
1003,Section 2: Related Work,What is the focus of the project?,comprehensive analysis
1003,Section 3.1: Virtual Environment Setup,How much disk storage did the X feature reduce the entire image to?,300MB
1003,Section 3.1: Virtual Environment Setup,Any windows application binary that requires a graphical user interface needs to connect to what?,X server
1003,Section 3.1: Virtual Environment Setup,Debian VE contains the necessary packages to have a functional what?,WINE
1003,Section 3.2: Retrieving the URLs,What browser is terminated after an attack is detected?,Internet Explorer
1003,Section 3.2: Retrieving the URLs,What do we do if we detect the attack vector?,terminate early
1003,Section 3.2: Retrieving the URLs,What does IE do for each URL it visits?,pause
1003,Section 3.3: Customized Memory Allocator,What places the address of a memory block in a linked list?,the allocator
1003,Section 3.3: Customized Memory Allocator,What has been a plethora of research on NOP sled detection?,libemu
1003,Section 3.3: Customized Memory Allocator,What type of attack has been proposed before?,heap spray
1003,Section 3.4: Payload Execution,What does the exploit usually use to construct the payload and copy it in large chunks of memory (heap spray)?,JavaScript
1003,Section 3.4: Payload Execution,What are the sensors in the payload loader interested in doing in order to prevent the attackers from bypassing the VEs or bypassing the sensors?,monitoring all
1003,Section 3.4: Payload Execution,What monitors all the activity on the VE and records it in files before launching the payload loader?,sensors
1003,Section 3: Framework Architecture,What is the most widely used browser in the United States?,IE
1003,Section 3: Framework Architecture,What is the name of the system that can instantiate in parallel a large number of un-patched Microsoft Internet Explorer (IE) instances in a large number of parallel instances in a parallel environment?,active honeynet
1003,Section 4.1: Experimental Results,What was the name of the Memory Usage cessing URLs that were hosting known heap-spray exploits?,ac-
1003,Section 4.1: Experimental Results,What did we quantify in comparison to other similar systems?,performance overhead
